面积	楼层	区	房价
143	4	海淀	23077
18	6	昌平	18889
604	1	西城	182119
66	7	海淀	101515
97	8	北京周边	5670
105	5	房山	32381
63	4	东城	88889
53	5	北京周边	8113
55	8	顺义	22909
93	1	房山	29032
381	3	昌平	39370
89	6	通州	22472
89	3	通州	28202
105	3	通州	43810
106	4	房山	25943
90	4	大兴	40667
272	1	房山	17647
90	2	通州	44444
105	2	通州	43810
117	2	通州	42564
107	3	顺义	30467
70	5	北京周边	10000
151	1	北京周边	19868
90	6	大兴	50000
330	1	房山	15939
44	4	朝阳	65909
61	2	朝阳	47541
56	4	朝阳	58929
89	1	大兴	52809
57	8	顺义	22982
345	1	密云	23188
90	8	大兴	50000
270	1	房山	20000
73	8	通州	28082
90	2	通州	43111
82	7	北京周边	11951
30	7	通州	40000
78	3	通州	26923
124	6	北京周边	12903
68	6	房山	32353
63	1	密云	27778
54	5	房山	38889
181	8	通州	76243
40	5	北京周边	10000
300	1	房山	16000
159	3	丰台	71635
82	5	北京周边	11951
83	3	东城	37952
